fecha,rendimiento_acumulado,rentabilidad step,comision,rentabilidad_1,rentabilidad_2,rentabilidad_3,rentabilidad_4,porcentaje_1,porcentaje_2,porcentaje_3,porcentaje_4,precios_1,precios_2,precios_3
20210829,208.24169512089716,1.0,0.0,1.0,1.0,0.9982735,0.99555665,1.0,0.0,0.0,0.0,9.566978,27.047821,3.374977
20210830,208.24169512089716,1.0,0.0,1.0,1.0043062,1.0,0.98226446,1.0,0.0,0.0,0.0,9.608175,27.047821,3.31512
20210831,208.24169512089716,1.0,0.0,1.0,1.0085758,1.0307852,1.0117185,1.0,0.0,0.0,0.0,9.690573,27.880493,3.3539681
20210901,208.24169512089716,1.0,0.0,1.0,1.0037787,1.0,0.9912539,1.0,0.0,0.0,0.0,9.727191,27.880493,3.324634
20210902,208.24169512089716,1.0,0.0,1.0,0.99341184,0.99228185,0.98318815,1.0,0.0,0.0,0.0,9.663107,27.665308,3.268741
20210905,208.24169512089716,1.0,0.0,1.0,0.98673606,1.0060873,1.0065486,1.0,0.0,0.0,0.0,9.534936,27.833715,3.2901466
20210906,208.24169512089716,1.0,0.0,1.0,0.99663955,1.0,1.0140964,1.0,0.0,0.0,0.0,9.502894,27.833715,3.336526
20210907,208.24169512089716,1.0,0.0,1.0,0.9971098,0.99966383,1.0039206,1.0,0.0,0.0,0.0,9.475429,27.824358,3.3496068
20210908,208.24169512089716,1.0,0.0,1.0,0.9927536,0.990585,0.9880474,1.0,0.0,0.0,0.0,9.406766,27.562393,3.3095703
20210909,208.24169512089716,1.0,0.0,1.0,0.98004866,0.9986422,0.9870644,1.0,0.0,0.0,0.0,9.219089,27.52497,3.2667592
20210912,208.24169512089716,1.0,0.0,1.0,1.0183716,1.0027193,1.0098288,1.0,0.0,0.0,0.0,9.388457,27.599817,3.2988675
20210913,208.24169512089716,1.0,0.0,1.0,0.9829351,1.0230509,0.9972364,1.0,0.0,0.0,0.0,9.228244,28.236017,3.2897506
20210914,208.24169512089716,1.0,0.0,1.0,0.94206357,0.9834327,0.9965055,1.0,0.0,0.0,0.0,8.693592,27.768223,3.2782545
20210915,208.24169512089716,1.0,0.0,1.0,0.9867313,1.0528976,1.0013303,1.0,0.0,0.0,0.0,8.578239,29.237095,3.2826154
20210916,208.24169512089716,1.0,0.0,1.0,0.99829227,1.0147198,1.0074869,1.0,0.0,0.0,0.0,8.56359,29.667461,3.307192
20210919,208.24169512089716,1.0,0.0,1.0,0.9901648,1.0018923,0.98705494,1.0,0.0,0.0,0.0,8.479365,29.7236,3.2643802
20210920,208.24169512089716,1.0,0.0,1.0,1.0077734,1.0201447,0.98409235,1.0,0.0,0.0,0.0,8.545279,30.322374,3.2124517
20210921,208.24169512089716,1.0,0.0,1.0,0.9914295,0.993212,1.0050592,1.0,0.0,0.0,0.0,8.472041,30.116545,3.2287045
20210922,208.24169512089716,1.0,0.0,1.0,1.0049709,0.9953403,0.9998772,1.0,0.0,0.0,0.0,8.514154,29.97621,3.228308
20210923,208.24169512089716,1.0,0.0,1.0,0.9911826,0.98813987,1.0065078,1.0,0.0,0.0,0.0,8.439082,29.620687,3.249317
20210926,208.24169512089716,1.0,0.0,1.0,0.99761355,1.0189513,1.0186656,1.0,0.0,0.0,0.0,8.418942,30.182037,3.309967
20210927,208.24169512089716,1.0,0.0,1.0,0.9765114,0.9683819,0.9952095,1.0,0.0,0.0,0.0,8.221193,29.227737,3.2941108
20210928,208.24169512089716,1.0,0.0,1.0,0.9948776,1.0304097,0.98255116,1.0,0.0,0.0,0.0,8.179081,30.116545,3.2366323
20210929,208.24169512089716,1.0,0.0,1.0,0.972017,0.9885058,0.9913043,1.0,0.0,0.0,0.0,7.950206,29.770378,3.2084875
20210930,208.24169512089716,1.0,0.0,1.0,1.0050666,1.0062854,0.9877687,1.0,0.0,0.0,0.0,7.990486,29.957497,3.1692436
20211003,208.24169512089716,1.0,0.0,1.0,0.98968834,0.98844475,1.015885,1.0,0.0,0.0,0.0,7.908091,29.61133,3.219587
20211004,208.24169512089716,1.0,0.0,1.0,1.0173653,1.0170616,1.0014775,1.0,0.0,0.0,0.0,8.045418,30.116545,3.2243438
20211005,208.24169512089716,1.0,0.0,1.0,1.0011379,0.95433366,0.9821736,1.0,0.0,0.0,0.0,8.054572,28.741232,3.1668653
20211006,208.24169512089716,1.0,0.0,1.0,1.0700158,1.0253906,1.0077608,1.0,0.0,0.0,0.0,8.61852,29.470991,3.1914425
20211007,208.24169512089716,1.0,0.0,1.0,1.0023369,0.9942857,1.0,1.0,0.0,0.0,0.0,8.63866,29.302586,3.1914425
20211010,208.24169512089716,1.0,0.0,1.0,0.98304385,0.98371655,0.99118125,1.0,0.0,0.0,0.0,8.492182,28.825438,3.163298
20211011,208.24169512089716,1.0,0.0,1.0,1.0090556,0.98506975,1.0093985,1.0,0.0,0.0,0.0,8.569083,28.395067,3.193028
20211012,208.24169512089716,1.0,0.0,1.0,1.0130342,1.0016475,0.98497826,1.0,0.0,0.0,0.0,8.680775,28.441847,3.1450632
20211013,208.24169512089716,1.0,0.0,1.0,1.0116009,0.9993421,0.99357194,1.0,0.0,0.0,0.0,8.781479,28.423134,3.1248465
20211014,208.24169512089716,1.0,0.0,1.0,0.9849876,1.0253456,0.9633388,1.0,0.0,0.0,0.0,8.649648,29.143536,3.0102859
20211017,208.24169512089716,1.0,0.0,1.0,0.9942846,1.0019262,0.991704,1.0,0.0,0.0,0.0,8.600211,29.19967,2.9853125
