#{"t_start": 1697827651.0065866, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.24932683,100,1500.535259,0.7793252401866464,[0.300807   0.20189172 0.19705312 0.09946595 0.10079577 0.09998646],0.0019545267708599564
-0.15340391,100,1500.535304,0.8577831478962363,[0.34326378 0.         0.         0.43392918 0.22280705 0.        ],0.00246283371001482
-0.13825516,100,1503.491122,0.8708764605562674,[0.2612172  0.26822656 0.06933181 0.         0.13134617 0.26987827],0.0022516241341829306
-0.20124407,100,1503.491241,0.817712846945973,[0.23445372 0.         0.21511675 0.2183124  0.22113255 0.11098457],0.0014999999411404133
-0.19303267,100,1503.491327,0.8244550290573623,[0.19811891 0.2711845  0.13108423 0.07022488 0.1995388  0.12984867],0.002000487136095762
-0.066681646,100,1503.491382,0.9354929697181065,[0.1  0.36 0.   0.18 0.36 0.  ],0.0024441188093274834
-0.14280859,100,1503.491447,0.8669199798373183,[0.06970321 0.08081307 0.23101525 0.23070617 0.07980249 0.3079598 ],0.0010500000655651093
-0.22999358,100,1503.491494,0.7945386982465505,[0.3  0.21 0.21 0.21 0.07 0.  ],0.0036
-0.013611689,100,1503.491539,0.9864805323187565,[0.         0.32746884 0.3333254  0.         0.16805832 0.17114745],0.002296169586479664
-0.11642512,100,1503.491583,0.8900967582493253,[0.34040573 0.08023471 0.17007428 0.         0.08044831 0.32883698],0.001990118623524905
-0.13702431,100,1506.453955,0.8719490313089941,[0.315471   0.22978562 0.08011997 0.14808904 0.         0.22653438],0.0015054360054433348
-0.1795418,100,1506.454082,0.8356530280440605,[0.24901453 0.2515838  0.18886237 0.12005436 0.         0.19048493],0.0018999999813735485
-0.081754774,100,1506.454147,0.9214979059975715,[0.19046737 0.09011553 0.27260703 0.         0.08820638 0.3586037 ],0.0015499915033578872
-0.13370657,100,1506.454198,0.8748467385019131,[0.07914772 0.22920287 0.1486657  0.15011911 0.31333452 0.07953009],0.0020018949594348663
